,age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impulsive,ss,canabis
0,0.246475415,0,1,1,0.262143073,0.413474338,0.796105903,0.762566512,0.609826923,0.479394462,0.337920229,0.465658053,1
1,0.40913683,0,0.537680871,1,0.262143073,0.444787921,0.622976056,0.392938917,0.266060687,0.353580459,0.215400826,0.619957452,1
2,0,1,0.814328504,1,0.262143073,0.492044718,0.37688344,0.527022738,0.58521343,0.584415303,0.215400826,0.224398219,1
3,0.40913683,1,1,1,0.262143073,0.623275341,0.250544453,0.456994854,0.456453717,0.688508123,0.428474303,0.465658053,1
4,1,1,0.273376347,0.535184955,0.262143073,0.413474338,0.454133106,0.278310885,0.794386265,0.735379695,0.215400826,0.132468045,0
5,0.577495711,0,0.814328504,0,0.262143073,0.444787921,0.333217265,0.456994854,0.456453717,0.635593587,0.428474303,0.539559173,0
6,0.40913683,0,0.157910811,1,0.262143073,0.317006243,0.796105903,0.392938917,0.456453717,0.735379695,0.503572574,0.388117124,0
7,0.40913683,1,0.537680871,0.535184955,0.262143073,0.607576997,0.892966557,0.372051675,0.609826923,0.663676696,0.215400826,0.132468045,0
8,0.782830278,0,0.814328504,1,0.262143073,0.477549942,0.500507036,0.299518747,0.58521343,0.517796938,0.215400826,0.308011329,0
9,0.246475415,1,0.653938212,1,0.262143073,0.357847466,0.622976056,0.348942765,0.390173077,0.761484084,0.503572574,0.539559173,1
10,0.577495711,0,0.412820002,0.186098464,0.262143073,0.317006243,0.500507036,0.553046373,0.222033796,0.423874828,0.565342643,0.825751648,1
11,0.782830278,1,0.653938212,1,0.262143073,0.853317385,0.525606839,0.602340848,0.266060687,0.387201388,0.705067942,0.539559173,1
12,0.782830278,1,0.537680871,0.535184955,0.262143073,0.39666592,0.622976056,0.527022738,0.635892344,1,0.337920229,0.308011329,0
13,0.782830278,1,0.537680871,1,0.262143073,0.377442942,0.722089354,0.602340848,0.41249033,0.735379695,0.705067942,0.710932676,0
14,0.782830278,0,0.653938212,1,0.262143073,0.209827716,0.269701857,0.278310885,0.34480106,0.663676696,0.337920229,0.388117124,0
15,0.40913683,1,0.412820002,1,0.262143073,0.283985996,0.37688344,0.258003349,0.541541583,0.609443014,0.428474303,0,1
16,0.577495711,0,0.157910811,1,0.262143073,0.591501701,0.31188205,0.478690123,0.43458965,0.300104493,0.215400826,0.308011329,1
17,0.782830278,0,0.653938212,0.308600767,0.262143073,0.717886882,0.476347998,0.501355347,0.222033796,0.280854184,0.337920229,0.465658053,1
18,0.40913683,0,0.537680871,1,0.262143073,0.462486773,0.230828087,0.141704207,0.222033796,0.609443014,0.215400826,0,0
19,0.577495711,0,0.537680871,1,0.262143073,0.39666592,0.622976056,0.647268093,0.732522024,0.335773418,0.503572574,0.465658053,1
20,1,0,0,1,0.262143073,0.336889626,0.572721469,0.348942765,0.41249033,0.761484084,0.428474303,0.224398219,0
21,0.577495711,0,0.653938212,1,0.262143073,0.575966603,0.355251945,0.392938917,0.660788717,0.370263194,0.337920229,0.539559173,0
22,0.577495711,0,0.157910811,1,0.262143073,0.7521478,0,0.323599232,0.541541583,0.353580459,0.215400826,0.132468045,1
23,0.782830278,0,0.653938212,1,0.262143073,0.492044718,0.597404343,0.730990326,0.609826923,0.710992795,0.428474303,0.388117124,0
24,0.577495711,0,0.412820002,1,0.262143073,0.39666592,0.432804,0.323599232,0.635892344,0.499040227,0.428474303,0.619957452,0
25,0.782830278,1,0.273376347,0.535184955,0.262143073,0.506431157,0.250544453,0,0.390173077,0.584415303,0.503572574,0.132468045,0
26,0.40913683,0,0.653938212,1,0.262143073,0.591501701,0.31188205,0.527022738,0.49750459,0.185210255,0.809490823,0.619957452,1
27,0.40913683,1,0.814328504,1,0.262143073,0.520448066,0.269701857,0.413997804,0.541541583,0.688508123,0.503572574,0.388117124,0
